%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
28.0, -1600.6307721889941, -1424.4990258811745, -3100.5445838623746, 1155.5628365949199, 3496.2375159546755, 3378.488526164118, 175.55060095198166, -4437.089495311916, -0.088, -0.034, 0.964, 192.0, 253.0, 64.0, 254.0, 240.0, 30.0, 32.0, 0.0, 0.0, 0.0, 1.700578770962524E9, 0.0, 2023-11-21 09:59:30.962
29.0, -1606.5092809807397, -1430.9586800287582, -3094.7107785595394, 1159.7426128080622, 3494.315265931519, 3377.8850290638247, 174.85769687386716, -4438.989393590617, -0.088, -0.034, 0.964, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770966545E9, 0.0, 2023-11-21 09:59:30.966
30.0, -1603.0671123346226, -1428.8129125610487, -3095.1578134486454, 1161.4636971311209, 3491.3871874078736, 3376.7003866076934, 172.84603987288952, -4439.078800568438, -0.088, -0.034, 0.964, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770970552E9, 0.0, 2023-11-21 09:59:30.970
31.0, -1603.8717751350136, -1432.7915230740932, -3100.052845484358, 1158.0215284850035, 3488.0120739951226, 3372.006520272079, 171.8402113724007, -4438.251786023591, -0.088, -0.034, 0.964, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770974553E9, 0.0, 2023-11-21 09:59:30.974
32.0, -1604.4529204908515, -1435.1384562419005, -3099.270534428422, 1158.0438802294589, 3490.537821118572, 3377.4379941747184, 179.55156320948163, -4435.301355755491, -0.088, -0.034, 0.964, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770977569E9, 0.0, 2023-11-21 09:59:30.977
33.0, -1591.7794813846924, -1418.2181856892332, -3093.861412270238, 1159.0050052410372, 3491.566001363516, 3379.092023264411, 180.3338742654174, -4435.457817966678, -0.088, -0.034, 0.964, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770981566E9, 0.0, 2023-11-21 09:59:30.981
34.0, -1594.953429097346, -1429.706982339261, -3098.8011477948608, 1155.5404848504645, 3491.543649619061, 3377.259180219076, 178.8139556424565, -4436.910681356273, -0.088, -0.034, 0.964, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70057877098557E9, 0.0, 2023-11-21 09:59:30.985
35.0, -1605.7716734137148, -1440.4358196778082, -3089.748691290461, 1164.65999658823, 3492.7282920751923, 3376.0968895074, 175.88587711881127, -4443.772666904052, -0.088, -0.034, 0.964, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770989574E9, 0.0, 2023-11-21 09:59:30.989
36.0, -1599.7367024107818, -1437.4630376652526, -3099.047016983869, 1159.6755575746963, 3489.1743647067983, 3382.4671366771627, 182.2561242885738, -4441.001050591594, -0.088, -0.034, 0.964, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770993591E9, 0.0, 2023-11-21 09:59:30.993
37.0, -1592.830013374092, -1427.4047526603642, -3103.5844211082963, 1153.1935516826572, 3484.0781669709886, 3384.747014611604, 186.346493523895, -4436.731867400631, -0.088, -0.034, 0.964, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770998602E9, 0.0, 2023-11-21 09:59:30.998
38.0, -1610.7561124272481, -1441.866331322948, -3099.0246652394135, 1157.328624406889, 3490.3590071629296, 3386.713968123671, 184.1113190783643, -4440.397553491301, -0.08600000000000001, -0.046, 0.97, 192.0, 253.0, 80.0, 254.0, 144.0, 30.0, 80.0, 0.0, 0.0, 0.0, 1.700578771002644E9, 0.0, 2023-11-21 09:59:31.002
